TIMESTAMP,ACCOUNT_ID,CONSUMPTION,UNITS
2015-04-01 00:00:00-07,9e8007f6-0798-9125-9361-019677794383,283.0,CF
2015-05-01 00:00:00-07,2319a0db-dbe4-f32e-1fd0-d45d55673c1e,1269.0,CF
2015-05-01 00:00:00-07,f21b6cf3-af2e-7790-56d1-a66176c3ddad,1018.0,CF
2015-05-01 00:00:00-07,19b7abd7-62e9-a02e-245e-560262278c6c,343.0,CF
2015-05-01 00:00:00-07,079b6bbd-e1c5-6901-6ba2-b865ffc8ef18,1086.0,CF
2015-05-01 00:00:00-07,9e8007f6-0798-9125-9361-019677794383,366.0,CF
2015-05-01 00:00:00-07,9b6a026f-ddeb-81be-5777-39a41823d602,414.0,CF
2015-05-01 00:00:00-07,707f7886-a789-866e-d143-9659a90cbe33,156.0,CF
2015-05-01 00:00:00-07,9f9c8098-2073-e559-a9e4-71b6dc96d920,676.0,CF
2015-05-01 00:00:00-07,45cf045a-b61e-aaf9-f6b1-f896794c8a84,680.0,CF
2015-05-01 00:00:00-07,5e8d49f8-2e2b-7117-b230-eb85805cd986,445.0,CF
2015-05-01 00:00:00-07,7c332956-dbe9-fc36-2e39-e7b33f7ebe02,1062.0,CF
2015-05-01 00:00:00-07,909ba632-9e36-bcb1-4920-f82ffe295326,917.0,CF
2015-05-01 00:00:00-07,54f962a1-bd97-593d-b502-2079c72d922b,480.0,CF
2015-06-01 00:00:00-07,b0b9e8b4-66d5-cb79-e2c4-9644f28383fb,372.0,CF
2015-06-01 00:00:00-07,d30286ca-ca20-c5f5-8dc8-c9775f1c2aa5,107.0,CF
2015-06-01 00:00:00-07,d4bec237-5660-8e90-4470-c570143089fd,1836.0,CF
2015-06-01 00:00:00-07,3b9e9f49-ec2c-5c13-9b63-42b6f058591f,2140.0,CF
2015-06-01 00:00:00-07,657fe6c2-522c-38c9-38a8-20c29b4ffeb2,349.0,CF
2015-06-01 00:00:00-07,079b6bbd-e1c5-6901-6ba2-b865ffc8ef18,873.0,CF
2015-06-01 00:00:00-07,9e8007f6-0798-9125-9361-019677794383,259.0,CF
2015-06-01 00:00:00-07,d8712e5a-c99c-9c88-8d89-5ad87f1b3ae5,537.0,CF
